IU_ID,IU_ID_Full
23760,GNB23760
23753,GNB23753
23754,GNB23754
23759,GNB23759
23649,GNB23649
23651,GNB23651
23720,GNB23720
54253,KEN54253
54254,KEN54254
54255,KEN54255
54251,KEN54251
54249,KEN54249
54252,KEN54252
54250,KEN54250
54176,KEN54176
54175,KEN54175
54173,KEN54173
54177,KEN54177
54174,KEN54174
54172,KEN54172
54129,KEN54129
54130,KEN54130
54124,KEN54124
54122,KEN54122
54123,KEN54123
54125,KEN54125
54093,KEN54093
54090,KEN54090
54088,KEN54088
54091,KEN54091
54092,KEN54092
54089,KEN54089
54087,KEN54087
54234,KEN54234
54235,KEN54235
54236,KEN54236
54237,KEN54237
54238,KEN54238
54239,KEN54239
54229,KEN54229
54230,KEN54230
54231,KEN54231
54232,KEN54232
54233,KEN54233
54178,KEN54178
54179,KEN54179
54180,KEN54180
54181,KEN54181
54182,KEN54182
54183,KEN54183
54184,KEN54184
54126,KEN54126
54127,KEN54127
54128,KEN54128
54094,KEN54094
54095,KEN54095
54096,KEN54096
54097,KEN54097
54075,KEN54075
54076,KEN54076
54077,KEN54077
54078,KEN54078
54079,KEN54079
54080,KEN54080
54081,KEN54081
54082,KEN54082
54083,KEN54083
54084,KEN54084
54085,KEN54085
54086,KEN54086
54050,KEN54050
54051,KEN54051
54069,KEN54069
54070,KEN54070
54071,KEN54071
54072,KEN54072
54073,KEN54073
54074,KEN54074
54151,KEN54151
54152,KEN54152
54153,KEN54153
54154,KEN54154
54108,KEN54108
54110,KEN54110
54111,KEN54111
54112,KEN54112
54113,KEN54113
54107,KEN54107
54109,KEN54109
54146,KEN54146
54148,KEN54148
54145,KEN54145
54150,KEN54150
54149,KEN54149
54147,KEN54147
54282,KEN54282
54284,KEN54284
54285,KEN54285
54286,KEN54286
54036,KEN54036
54038,KEN54038
54040,KEN54040
54039,KEN54039
54041,KEN54041
54037,KEN54037
54281,KEN54281
54283,KEN54283
54287,KEN54287
54289,KEN54289
54290,KEN54290
54288,KEN54288
54270,KEN54270
54271,KEN54271
54272,KEN54272
54273,KEN54273
54274,KEN54274
54275,KEN54275
54266,KEN54266
54268,KEN54268
54264,KEN54264
54265,KEN54265
54269,KEN54269
54267,KEN54267
54259,KEN54259
54260,KEN54260
54261,KEN54261
54262,KEN54262
54263,KEN54263
54052,KEN54052
54056,KEN54056
54054,KEN54054
54055,KEN54055
54053,KEN54053
54185,KEN54185
54189,KEN54189
54191,KEN54191
54195,KEN54195
54188,KEN54188
54192,KEN54192
54194,KEN54194
54186,KEN54186
54193,KEN54193
54196,KEN54196
54197,KEN54197
54187,KEN54187
54198,KEN54198
54199,KEN54199
54200,KEN54200
54201,KEN54201
54190,KEN54190
54243,KEN54243
54164,KEN54164
54098,KEN54098
54099,KEN54099
54100,KEN54100
54101,KEN54101
54244,KEN54244
54225,KEN54225
54245,KEN54245
54042,KEN54042
54043,KEN54043
54044,KEN54044
54045,KEN54045
54102,KEN54102
54103,KEN54103
54226,KEN54226
54165,KEN54165
54166,KEN54166
54046,KEN54046
54227,KEN54227
54104,KEN54104
54105,KEN54105
54167,KEN54167
54047,KEN54047
54246,KEN54246
54168,KEN54168
54106,KEN54106
54048,KEN54048
54049,KEN54049
54169,KEN54169
54170,KEN54170
54247,KEN54247
54248,KEN54248
54171,KEN54171
54228,KEN54228
54163,KEN54163
54162,KEN54162
54161,KEN54161
54160,KEN54160
54159,KEN54159
54158,KEN54158
54157,KEN54157
54156,KEN54156
54155,KEN54155
54258,KEN54258
54257,KEN54257
54256,KEN54256
54034,KEN54034
54032,KEN54032
54035,KEN54035
54033,KEN54033
54140,KEN54140
54141,KEN54141
54143,KEN54143
54139,KEN54139
54142,KEN54142
54144,KEN54144
54120,KEN54120
54121,KEN54121
54119,KEN54119
54118,KEN54118
54116,KEN54116
54114,KEN54114
54115,KEN54115
54117,KEN54117
54133,KEN54133
54137,KEN54137
54136,KEN54136
54132,KEN54132
54135,KEN54135
54131,KEN54131
54138,KEN54138
54134,KEN54134
54212,KEN54212
54205,KEN54205
