"IUID","Region"
"SDN66117",5
"SDN66123",5
"SDN66072",5
"SDN66062",5
"SDN66076",5
"SDN66069",5
"SDN66114",5
"SDN66025",5
"SDN66035",5
"SDN66056",5
"SDN66060",5
"SDN66055",5
"SDN66059",5
"SDN66057",5
"SDN66061",5
"SDN66058",5
"SDN66097",5
"SDN66092",5
"SDN66095",5
"SDN66096",5
"SDN66016",5
"SDN66054",5
"SDN66051",5
"SDN66050",5
"SDN66049",5
"SDN66053",5
"SDN66052",5
"SDN66046",5
"SDN66045",5
"SDN66048",5
"SDN66047",5
"SDN66099",5
"SDN66102",5
"SDN66104",5
"SDN66103",5
"SDN66100",5
"SDN66101",5
"SDN66089",5
"SDN66087",5
"SDN66084",5
"SDN66088",5
"SDN66086",5
"SDN66085",5
"SDN66090",5
"SDN66158",5
"SDN66154",5
"SDN66083",5
"SDN66081",5
"SDN66082",5
"SDN66079",5
"SDN66080",5
"SDN66150",5
"SDN66159",5
"SDN66007",5
"SDN66004",5
"SDN66006",5
"SDN66005",5
"SDN66001",5
"SDN66002",5
"SDN66003",5
"SDN66023",5
"SDN66021",5
"SDN66024",5
"SDN66020",5
"SDN66019",5
"SDN66105",5
"SDN66111",5
"SDN66106",5
"SDN66107",5
"SDN66108",5
"SDN66109",5
"SDN66110",5
"SDN66160",5
"SDN66167",5
"SDN66165",5
"SDN66164",5
"SDN66166",5
"SDN66162",5
"SDN66161",5
"SDN66008",5
"SDN66009",5
"SDN66015",5
"SDN66012",5
"SDN66010",5
"SDN66013",5
"SDN66011",5
"SDN66017",5
"SDN66014",5
"SDN66093",5
"SDN66022",5
"SDN66091",5
"SDN66098",5
"SDN66163",5
"SDN66156",5
"SDN66155",5
"SDN66151",5
"SDN66130",5
"SDN66140",5
"SDN66134",5
"SDN66141",5
"SDN66152",5
"SDN66138",5
"SDN66132",5
"SDN66133",5
"SDN66136",5
"SDN66139",5
"SDN66137",5
"SDN66131",5
"SDN66153",5
"SDN66157",5
"SDN66135",5
"SDN66018",5
"SDN66094",5
"TZA46513",5
"TZA46466",5
"TZA46514",5
"TZA46554",5
"TZA46515",5
"TZA46575",5
"TZA46621",5
"TZA46468",5
"TZA46467",5
"TZA46623",5
"TZZ51896",5
"TZZ51894",5
"TZZ51898",5
"TZZ51900",5
"TZZ51893",5
"TZZ51895",5
"TZZ51899",5
"TZZ51892",5
"TZZ51897",5
"TZZ51902",5
"ETH18714",5
"ETH18684",5
"ETH18756",5
"ETH18757",5
"ETH18760",5
"ETH18763",5
"ETH18686",5
"ETH18688",5
"ETH18787",5
"ETH18791",5
"ETH19136",5
"ETH18799",5
"ETH19524",5
"ETH18690",5
"ETH18814",5
"ETH18815",5
"ETH18845",5
"ETH19214",5
"ETH19361",5
"ETH18717",5
"ETH19253",5
"ETH18853",5
"ETH18692",5
"ETH19197",5
"ETH18898",5
"ETH18899",5
"ETH19501",5
"ETH18616",5
"ETH19459",5
"ETH19299",5
"ETH18930",5
"ETH19461",5
"ETH19220",5
"ETH18957",5
"ETH18699",5
"ETH18985",5
"ETH19000",5
"ETH19354",5
"ETH19377",5
"ETH19437",5
"ETH19243",5
"ETH19456",5
"ETH18701",5
"ETH19566",5
"ETH19255",5
"ETH18664",5
"ETH19017",5
"ETH19028",5
"ETH18703",5
"ETH18704",5
"ETH19038",5
"ETH19273",5
"ETH19410",5
"ETH19180",5
"ETH19545",5
"ETH19567",5
"AGO02049",6
"AGO02050",6
"AGO02053",6
"AGO02062",6
"AGO02068",6
"AGO02072",6
"AGO02073",6
"AGO02074",6
"AGO02213",6
"AGO02085",6
"AGO02086",6
"AGO02087",6
"AGO02088",6
"AGO02092",6
"AGO02089",6
"AGO02090",6
"AGO02217",6
"AGO02093",6
"AGO02097",6
"AGO02106",6
"AGO02112",6
"AGO02129",6
"AGO02132",6
"AGO02136",6
"AGO02150",6
"AGO02154",6
"AGO02157",6
"AGO02159",6
"AGO02161",6
"AGO02166",6
"AGO02170",6
"AGO02173",6
"AGO02215",6
"AGO02222",6
"AGO02190",6
"AGO02202",6
"AGO02197",6
"AGO02204",6
"AGO02211",6
"AGO02143",6
"MDG27926",6
"MDG27847",6
"MDG27914",6
"MDG27844",6
"MDG27873",6
"MDG27895",6
"MDG27877",6
"MDG27897",6
"MDG27904",6
"MDG27851",6
"MDG27885",6
"MDG27932",6
"MDG27884",6
"MDG27883",6
"MDG27931",6
"MDG27840",6
"MDG27834",6
"MDG27938",6
"MDG27916",6
"MDG27878",6
"MDG27919",6
"MDG27850",6
"MDG27890",6
"MDG27905",6
"MDG27835",6
"MDG27872",6
"MDG27854",6
"MDG27912",6
"MDG27858",6
"MDG27837",6
"MDG27896",6
"MDG27902",6
"MDG27886",6
"MDG27864",6
"MDG27863",6
"MDG27924",6
"MDG27845",6
"MDG27843",6
"MDG27901",6
"MDG27920",6
"MDG27917",6
"MDG27894",6
"MDG27925",6
"MDG27869",6
"MDG27928",6
"MDG27868",6
"MDG27913",6
"MDG27906",6
"MDG27879",6
"MDG27898",6
"MDG27889",6
"MDG27909",6
"MDG27862",6
"MDG27838",6
"MDG27888",6
"MDG27893",6
"MDG27833",6
"MDG27875",6
"MDG27874",6
"MDG27929",6
"MDG27866",6
"MDG27918",6
"MDG27930",6
"MDG27876",6
"MDG27910",6
"MDG27842",6
"MDG27911",6
"MDG27900",6
"MDG27855",6
"MDG27908",6
"MDG27907",6
"MDG27859",6
"MDG27891",6
"MDG27887",6
"MDG27852",6
"MDG27939",6
"MDG27882",6
"MDG27942",6
"MDG27846",6
"MDG27839",6
"MDG27915",6
"MDG27861",6
"MDG27927",6
"MDG27921",6
"MDG27923",6
"MDG27867",6
"MDG27836",6
"MDG27880",6
"MDG27892",6
"MDG27870",6
"MDG27856",6
"MDG27860",6
"MDG27922",6
"MDG27881",6
"MOZ33254",6
"MOZ33238",6
"MOZ33142",6
"MOZ33203",6
"MOZ33101",6
"MOZ33257",6
"MOZ33145",6
"MOZ33139",6
"MOZ33144",6
"MOZ33112",6
"MOZ33214",6
"MOZ33171",6
"MOZ33217",6
"MOZ33222",6
"MOZ33211",6
"MOZ33190",6
"MOZ33258",6
"MOZ33111",6
"MOZ33262",6
"MOZ33219",6
"MOZ33187",6
"MOZ33159",6
"MOZ33185",6
"MOZ33184",6
"MOZ33110",6
"MOZ33130",6
"MOZ33180",6
"MOZ33182",6
"MOZ33248",6
"MOZ33141",6
"MOZ33220",6
"MOZ33243",6
"MOZ33186",6
"MOZ33193",6
"MOZ33108",6
"MOZ33246",6
"MOZ33148",6
"MOZ33137",6
"MOZ33216",6
"MOZ33100",6
"MOZ33249",6
"MOZ33138",6
"MOZ33181",6
"MOZ33173",6
"MOZ33105",6
"MOZ33253",6
"MOZ33188",6
"MOZ33113",6
